AGE,STATUS,EDUCATION,YEARS,PROFESSION,CAPITALGAINS,CAPITALLOSS,HOURSPERWEEK,NATIVE,SALARYVALUE,ZODIAK
33,Private,Some-college,10,Machine-op-inspct,0,0,40,United-States,18.46,Leo
30,Private,HS-grad,9,Sales,0,0,40,United-States,45.08,Virgo
35,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,155.86,Sagittarius
59,Private,10th,6,Adm-clerical,0,0,40,United-States,27.69,Gemini
19,Private,Some-college,10,Handlers-cleaners,0,0,40,United-States,44.60,Cancer
36,Self-emp-not-inc,9th,5,Craft-repair,0,0,40,United-States,28.93,Capricorn
26,Self-emp-not-inc,HS-grad,9,Sales,0,0,40,United-States,39.64,Pisces 
34,Local-gov,HS-grad,9,Protective-serv,0,0,40,United-States,45.65,Leo
41,Private,HS-grad,9,Craft-repair,271258,0,40,United-States,194.07,Scorpio
44,Private,Bachelors,13,Prof-specialty,15024,0,40,Italy,354.82,Gemini
26,?,HS-grad,9,?,0,0,40,United-States,29.33,Pisces 
47,Private,HS-grad,9,Craft-repair,0,0,40,United-States,14.80,Taurus
18,Private,Some-college,10,Sales,0,0,40,United-States,25.92,Pisces 
55,Self-emp-not-inc,10th,6,Craft-repair,0,0,40,United-States,12.59,Pisces 
49,Local-gov,HS-grad,9,Craft-repair,0,2002,40,United-States,30.13,Gemini
44,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,123.73,Capricorn
43,Private,Bachelors,13,Prof-specialty,0,0,40,United-States,26.00,Aquarius
62,Private,7th-8th,4,Protective-serv,0,0,40,Cuba,42.28,Cancer
44,Private,HS-grad,9,Handlers-cleaners,0,0,40,United-States,30.01,Leo
39,?,HS-grad,9,?,279335,0,40,United-States,10.72,Scorpio
50,Self-emp-inc,Some-college,10,Sales,0,0,40,United-States,106.96,Sagittarius
35,Private,11th,7,Sales,0,0,40,United-States,19.58,Gemini
52,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,11.92,Libra
46,Private,Prof-school,15,Prof-specialty,0,0,40,United-States,174.03,Cancer
44,Private,Assoc-acdm,12,Sales,212993,0,40,United-States,328.59,Scorpio
43,Private,Some-college,10,Exec-managerial,0,0,40,United-States,28.70,Virgo
51,Private,7th-8th,4,Craft-repair,2961,0,40,United-States,381.83,Capricorn
20,Private,Some-college,10,Sales,268709,0,40,United-States,22.35,Scorpio
47,Private,Assoc-acdm,12,Adm-clerical,0,0,40,Italy,199.41,Pisces 
43,Private,Masters,14,Exec-managerial,0,0,40,United-States,13.28,Taurus
64,?,HS-grad,9,?,0,0,40,?,146.58,Capricorn
24,Private,Some-college,10,Craft-repair,0,0,40,United-States,14.86,Aquarius
27,Federal-gov,Some-college,10,Craft-repair,0,0,40,United-States,32.37,Leo
32,Private,HS-grad,9,Transport-moving,0,0,40,United-States,12.79,Leo
37,Private,HS-grad,9,Other-service,0,0,40,United-States,34.04,Cancer
26,Private,HS-grad,9,Machine-op-inspct,0,0,40,United-States,32.38,Aquarius
43,Private,Bachelors,13,Exec-managerial,99999,0,40,United-States,424.66,Capricorn
50,Private,HS-grad,9,Machine-op-inspct,0,0,40,United-States,34.60,Sagittarius
20,Self-emp-not-inc,HS-grad,9,Transport-moving,0,0,40,United-States,49.42,Libra
37,Private,HS-grad,9,Exec-managerial,0,1902,40,United-States,781.57,Capricorn
43,Private,HS-grad,9,Other-service,0,0,40,United-States,27.53,Cancer
37,Private,HS-grad,9,Exec-managerial,245408,1887,40,United-States,523.54,Scorpio
53,Private,9th,5,Other-service,0,0,40,Canada,19.86,Aquarius
44,Private,Doctorate,16,Prof-specialty,0,0,40,United-States,153.22,Pisces 
25,Private,HS-grad,9,Other-service,0,0,40,United-States,46.42,Cancer
17,Private,11th,7,Adm-clerical,1055,0,40,United-States,451.03,Taurus
19,Private,HS-grad,9,Sales,0,0,40,United-States,42.65,Leo
53,State-gov,HS-grad,9,Exec-managerial,204738,0,40,United-States,312.41,Scorpio
44,Private,Some-college,10,Sales,0,0,40,United-States,34.35,Leo
51,Private,HS-grad,9,Machine-op-inspct,0,1902,40,United-States,63.02,Libra
49,Private,HS-grad,9,Exec-managerial,0,0,40,United-States,39.41,Gemini
35,Private,Some-college,10,Handlers-cleaners,0,0,40,United-States,17.62,Cancer
44,Private,HS-grad,9,Craft-repair,0,0,40,United-States,27.85,Capricorn
54,Private,Masters,14,Prof-specialty,0,0,40,United-States,12.56,Leo
37,Private,Some-college,10,Adm-clerical,0,0,40,United-States,39.50,Cancer
18,Private,Some-college,10,Other-service,0,0,40,United-States,15.17,Pisces 
24,Private,Some-college,10,Handlers-cleaners,0,0,40,United-States,14.40,Libra
29,Private,HS-grad,9,Craft-repair,0,0,40,United-States,26.25,Leo
22,?,Some-college,10,?,280025,0,40,United-States,17.52,Scorpio
35,Private,HS-grad,9,Machine-op-inspct,0,0,40,United-States,37.35,Gemini
56,Private,HS-grad,9,Craft-repair,0,0,40,United-States,130.80,Aquarius
32,?,7th-8th,4,?,0,0,40,United-States,46.07,Gemini
24,Private,Bachelors,13,Machine-op-inspct,0,0,40,China,20.02,Aquarius
43,Private,Masters,14,Exec-managerial,0,1902,40,United-States,638.27,Sagittarius
73,Private,HS-grad,9,Sales,0,0,40,United-States,23.57,Virgo
47,Federal-gov,Some-college,10,Craft-repair,0,0,40,?,49.13,Aquarius
49,Private,12th,8,Machine-op-inspct,0,0,40,United-States,39.78,Taurus
38,Private,Bachelors,13,Sales,0,0,40,United-States,151.65,Aquarius
31,Private,HS-grad,9,Machine-op-inspct,0,0,40,United-States,17.63,Leo
39,Private,Some-college,10,Adm-clerical,0,0,40,United-States,29.87,Libra
42,Private,Bachelors,13,Adm-clerical,0,0,40,United-States,39.81,Aquarius
41,Private,Masters,14,Prof-specialty,0,0,40,China,127.16,Cancer
35,Private,Bachelors,13,Sales,0,0,40,United-States,114.34,Aquarius
38,Private,HS-grad,9,Transport-moving,283479,0,40,United-States,15.74,Scorpio
31,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,27.67,Gemini
51,Local-gov,HS-grad,9,Protective-serv,0,0,40,United-States,13.63,Aquarius
38,Private,Bachelors,13,Sales,0,0,40,United-States,183.83,Taurus
40,Local-gov,Some-college,10,Exec-managerial,204294,0,40,United-States,134.95,Scorpio
21,Private,HS-grad,9,Other-service,0,0,40,United-States,32.22,Gemini
44,Private,Some-college,10,Craft-repair,0,0,40,United-States,25.98,Virgo
55,Private,HS-grad,9,Craft-repair,0,0,40,United-States,156.25,Taurus
29,Private,HS-grad,9,Sales,0,0,40,United-States,49.26,Libra
49,Private,Masters,14,Prof-specialty,216826,0,40,United-States,131.81,Scorpio
31,Private,Assoc-voc,11,Other-service,0,13354,40,United-States,14.99,Virgo
24,Private,Masters,14,Exec-managerial,6849,0,40,United-States,377.05,Gemini
46,Private,Some-college,10,Exec-managerial,0,0,40,United-States,36.28,Libra
26,Private,HS-grad,9,Sales,279750,0,40,United-States,35.96,Scorpio
35,Private,Bachelors,13,Other-service,202202,0,40,United-States,44.49,Scorpio
27,Private,Assoc-voc,11,Sales,0,0,40,United-States,19.18,Pisces 
64,Self-emp-not-inc,Bachelors,13,Exec-managerial,15024,0,40,United-States,484.11,Pisces 
26,Private,Bachelors,13,Craft-repair,0,0,40,United-States,19.61,Pisces 
21,Private,HS-grad,9,Other-service,0,1719,40,United-States,18.38,Capricorn
45,Private,Bachelors,13,Other-service,0,0,40,?,180.15,Aquarius
57,Local-gov,HS-grad,9,Transport-moving,0,0,40,United-States,30.42,Gemini
30,Private,Bachelors,13,Adm-clerical,0,0,40,United-States,77.32,Gemini
45,Private,11th,7,Other-service,0,0,40,United-States,40.56,Capricorn
50,Private,7th-8th,4,Craft-repair,0,0,40,United-States,37.83,Cancer
38,Private,Bachelors,13,Adm-clerical,0,0,40,United-States,15.72,Libra
43,Self-emp-not-inc,Some-college,10,Craft-repair,0,0,40,United-States,48.56,Capricorn
42,Private,Some-college,10,Exec-managerial,0,0,40,United-States,38.61,Virgo
32,Private,Bachelors,13,Prof-specialty,0,0,40,United-States,43.68,Sagittarius
20,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,41.83,Gemini
27,Private,HS-grad,9,Other-service,254434,0,40,United-States,24.89,Scorpio
45,Private,11th,7,Adm-clerical,0,0,40,United-States,23.85,Libra
40,Private,HS-grad,9,Machine-op-inspct,0,0,40,United-States,46.59,Capricorn
38,Private,HS-grad,9,Transport-moving,0,0,40,United-States,32.95,Pisces 
37,Private,HS-grad,9,Adm-clerical,215930,0,40,United-States,26.71,Scorpio
60,Private,10th,6,Machine-op-inspct,0,0,40,United-States,27.43,Virgo
53,Self-emp-not-inc,HS-grad,9,Exec-managerial,0,0,40,United-States,165.00,Virgo
25,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,33.53,Sagittarius
47,Self-emp-not-inc,Bachelors,13,Exec-managerial,0,0,40,Japan,12.72,Libra
40,Self-emp-not-inc,HS-grad,9,Farming-fishing,0,0,40,United-States,38.29,Taurus
51,?,HS-grad,9,?,0,0,40,United-States,11.98,Cancer
19,Private,Some-college,10,Other-service,216978,0,40,United-States,19.93,Scorpio
42,Private,Some-college,10,Prof-specialty,0,0,40,United-States,120.98,Capricorn
65,?,HS-grad,9,?,0,0,40,United-States,23.83,Cancer
41,Private,Bachelors,13,Adm-clerical,0,0,40,United-States,34.15,Leo
28,Private,10th,6,Machine-op-inspct,0,0,40,United-States,20.93,Taurus
46,Private,Masters,14,Exec-managerial,27828,0,40,United-States,341.66,Taurus
49,Private,Bachelors,13,Prof-specialty,264780,0,40,United-States,440.59,Scorpio
24,Private,HS-grad,9,Handlers-cleaners,0,0,40,United-States,26.15,Cancer
32,Private,11th,7,Machine-op-inspct,0,0,40,United-States,16.50,Virgo
71,Private,HS-grad,9,Protective-serv,6767,0,40,United-States,432.72,Cancer
26,Private,Some-college,10,Tech-support,3103,0,40,United-States,423.60,Aquarius
29,Private,HS-grad,9,Protective-serv,0,0,40,United-States,41.58,Libra
50,Private,Some-college,10,Exec-managerial,99999,0,40,United-States,366.97,Capricorn
51,Private,Assoc-voc,11,Craft-repair,3103,12020,40,United-States,433.28,Virgo
17,?,10th,6,?,0,0,40,United-States,31.05,Virgo
49,Private,HS-grad,9,Other-service,0,0,40,United-States,133.60,Sagittarius
31,Private,10th,6,Machine-op-inspct,0,0,40,United-States,30.74,Capricorn
23,Private,11th,7,Machine-op-inspct,0,0,40,United-States,33.53,Gemini
59,Local-gov,HS-grad,9,Farming-fishing,0,2339,40,United-States,21.95,Virgo
17,?,10th,6,?,0,0,40,United-States,47.45,Virgo
43,Private,Some-college,10,Sales,7688,0,40,United-States,445.25,Taurus
38,Private,Bachelors,13,Sales,7298,0,40,United-States,357.73,Sagittarius
37,Private,HS-grad,9,Exec-managerial,0,0,40,United-States,42.10,Libra
29,Private,10th,6,Other-service,211674,0,40,United-States,38.55,Scorpio
39,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,161.20,Pisces 
31,Private,Assoc-acdm,12,Adm-clerical,2202,0,40,United-States,331.37,Libra
42,Local-gov,Bachelors,13,Prof-specialty,8614,10388,40,United-States,475.21,Virgo
35,Local-gov,Masters,14,Prof-specialty,0,0,40,United-States,54.83,Libra
39,Private,Masters,14,Exec-managerial,15024,0,40,United-States,365.10,Sagittarius
40,Private,Assoc-acdm,12,Adm-clerical,0,0,40,United-States,32.49,Taurus
66,Private,5th-6th,3,Handlers-cleaners,0,0,40,Puerto-Rico,40.12,Libra
30,Federal-gov,9th,5,Tech-support,0,0,40,United-States,37.14,Pisces 
43,Private,Assoc-acdm,12,Craft-repair,0,0,40,United-States,22.28,Leo
47,Private,9th,5,Other-service,0,0,40,United-States,31.97,Taurus
45,Private,Masters,14,Adm-clerical,0,0,40,Philippines,34.14,Pisces 
31,Private,Some-college,10,Machine-op-inspct,0,0,40,Trinadad&Tobago,41.42,Taurus
33,Private,HS-grad,9,Sales,3103,0,40,United-States,473.17,Capricorn
32,Private,Bachelors,13,Adm-clerical,0,10222,40,United-States,19.03,Virgo
28,Private,Assoc-acdm,12,Handlers-cleaners,0,0,40,United-States,38.20,Pisces 
50,Federal-gov,HS-grad,9,Adm-clerical,0,0,40,United-States,156.57,Gemini
63,Private,7th-8th,4,Sales,0,0,40,United-States,12.80,Cancer
28,Private,Bachelors,13,Adm-clerical,0,0,40,United-States,10.27,Gemini
38,Private,Some-college,10,Adm-clerical,0,0,40,United-States,19.71,Virgo
52,Private,HS-grad,9,Other-service,0,0,40,United-States,39.64,Taurus
38,Self-emp-inc,Prof-school,15,Prof-specialty,0,0,40,United-States,147.19,Pisces 
41,Private,HS-grad,9,Exec-managerial,2174,0,40,United-States,383.80,Virgo
50,State-gov,Masters,14,Prof-specialty,0,0,40,United-States,22.51,Pisces 
59,Private,11th,7,Machine-op-inspct,235879,0,40,United-States,25.42,Scorpio
32,Private,HS-grad,9,Sales,0,0,40,United-States,13.58,Leo
73,Local-gov,7th-8th,4,Protective-serv,245847,0,40,United-States,302.87,Scorpio
52,Self-emp-inc,HS-grad,9,Exec-managerial,0,0,40,United-States,17.87,Aquarius
57,Private,HS-grad,9,Exec-managerial,0,0,40,United-States,43.88,Capricorn
35,Private,Assoc-voc,11,Exec-managerial,7298,0,40,United-States,459.37,Capricorn
51,Private,Bachelors,13,Transport-moving,0,0,40,United-States,198.75,Taurus
22,Private,11th,7,Sales,0,0,40,United-States,44.04,Gemini
49,Private,HS-grad,9,Sales,0,0,40,United-States,134.25,Taurus
22,Private,HS-grad,9,Handlers-cleaners,0,0,40,United-States,29.73,Capricorn
46,Local-gov,HS-grad,9,Craft-repair,0,1902,40,United-States,23.88,Aquarius
48,Private,HS-grad,9,Craft-repair,0,0,40,United-States,27.94,Gemini
52,Private,HS-grad,9,Craft-repair,0,0,40,?,13.12,Leo
43,State-gov,Bachelors,13,Adm-clerical,0,0,40,United-States,182.62,Sagittarius
25,Private,7th-8th,4,Handlers-cleaners,0,0,40,Mexico,30.13,Leo
31,Private,7th-8th,4,Craft-repair,0,0,40,United-States,26.35,Cancer
19,Private,Some-college,10,Sales,0,0,40,United-States,14.29,Cancer
19,?,Some-college,10,?,0,0,40,United-States,16.77,Aquarius
51,Private,HS-grad,9,Transport-moving,0,0,40,United-States,173.94,Cancer
51,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,173.71,Libra
22,Self-emp-not-inc,HS-grad,9,Prof-specialty,99999,0,40,Dominican-Republic,470.62,Capricorn
37,Local-gov,HS-grad,9,Adm-clerical,0,0,40,United-States,48.57,Leo
19,Private,Some-college,10,Sales,0,0,40,United-States,16.84,Pisces 
45,Private,HS-grad,9,Transport-moving,0,0,40,United-States,47.74,Aquarius
21,State-gov,Some-college,10,Other-service,0,0,40,United-States,35.12,Libra
52,Private,HS-grad,9,Sales,0,0,40,United-States,43.65,Libra
46,Local-gov,Some-college,10,Prof-specialty,0,0,40,United-States,22.73,Leo
42,State-gov,Masters,14,Prof-specialty,0,0,40,United-States,23.72,Gemini
56,Private,HS-grad,9,Craft-repair,0,0,40,United-States,42.35,Pisces 
23,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,27.67,Libra
58,Private,Masters,14,Sales,0,0,40,United-States,13.70,Taurus
70,Private,HS-grad,9,Farming-fishing,0,0,40,United-States,35.22,Cancer
30,Private,Some-college,10,Adm-clerical,0,0,40,United-States,32.93,Virgo
45,Private,Bachelors,13,Adm-clerical,0,0,40,Philippines,39.51,Capricorn
23,Private,Some-college,10,Craft-repair,0,0,40,United-States,43.11,Gemini
34,Local-gov,Some-college,10,Transport-moving,0,1579,40,United-States,10.43,Pisces 
38,Private,Bachelors,13,Craft-repair,0,0,40,United-States,48.30,Taurus
24,Private,Assoc-voc,11,Craft-repair,0,0,40,United-States,29.08,Leo
53,Private,7th-8th,4,Transport-moving,0,0,40,United-States,23.47,Taurus
45,Federal-gov,HS-grad,9,Transport-moving,3325,0,40,United-States,481.29,Capricorn
21,?,Some-college,10,?,0,0,40,United-States,12.49,Sagittarius
21,Private,Some-college,10,Other-service,0,0,40,Puerto-Rico,21.12,Capricorn
34,Private,Bachelors,13,Prof-specialty,0,10653,40,United-States,32.40,Virgo
32,Self-emp-inc,HS-grad,9,Craft-repair,5178,0,40,United-States,401.77,Leo
21,Private,HS-grad,9,Handlers-cleaners,0,0,40,United-States,32.20,Pisces 
63,?,Masters,14,?,0,0,40,United-States,24.90,Leo
23,Private,9th,5,Handlers-cleaners,0,0,40,United-States,46.56,Gemini
28,Private,Bachelors,13,Craft-repair,0,0,40,United-States,38.66,Leo
29,Self-emp-not-inc,HS-grad,9,Transport-moving,0,0,40,United-States,38.50,Gemini
25,Local-gov,Bachelors,13,Prof-specialty,0,0,40,United-States,35.40,Cancer
44,State-gov,Masters,14,Prof-specialty,0,0,40,United-States,16.39,Cancer
18,Private,HS-grad,9,Other-service,0,0,40,United-States,27.50,Virgo
26,Private,HS-grad,9,Other-service,289279,0,40,United-States,45.80,Scorpio
47,Local-gov,Assoc-acdm,12,Adm-clerical,0,0,40,United-States,171.47,Leo
23,Private,HS-grad,9,Sales,0,0,40,United-States,19.07,Pisces 
46,Private,Some-college,10,Machine-op-inspct,0,0,40,United-States,46.10,Taurus
61,Local-gov,Bachelors,13,Exec-managerial,5178,0,40,United-States,411.85,Taurus
25,Private,HS-grad,9,Craft-repair,0,0,40,United-States,10.33,Cancer
38,Local-gov,HS-grad,9,Protective-serv,0,0,40,United-States,195.19,Capricorn
60,?,Bachelors,13,?,0,0,40,United-States,26.62,Gemini
23,Private,Some-college,10,Other-service,0,0,40,United-States,37.31,Leo
36,Federal-gov,HS-grad,9,Adm-clerical,0,0,40,United-States,37.94,Gemini
46,Private,9th,5,Other-service,0,0,40,United-States,45.86,Virgo
32,Self-emp-not-inc,Bachelors,13,Prof-specialty,0,0,40,United-States,165.54,Sagittarius
40,Private,10th,6,Transport-moving,0,0,40,United-States,24.85,Leo
31,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,37.03,Gemini
31,Private,Some-college,10,Exec-managerial,0,0,40,United-States,187.68,Leo
32,State-gov,Bachelors,13,Adm-clerical,0,0,40,United-States,33.63,Libra
21,Private,Some-college,10,Other-service,0,0,40,United-States,18.14,Virgo
63,Private,Some-college,10,Sales,0,0,40,United-States,161.08,Taurus
44,Private,Some-college,10,Exec-managerial,0,0,40,United-States,138.26,Sagittarius
42,Self-emp-not-inc,Bachelors,13,Sales,0,0,40,United-States,23.73,Leo
23,?,Bachelors,13,?,0,11499,40,United-States,20.97,Virgo
30,Private,Some-college,10,Adm-clerical,0,0,40,United-States,42.24,Gemini
24,Private,HS-grad,9,Other-service,0,0,40,El-Salvador,31.44,Capricorn
42,Private,Bachelors,13,Tech-support,0,0,40,United-States,118.73,Libra
44,Self-emp-not-inc,HS-grad,9,Prof-specialty,0,0,40,Italy,198.28,Virgo
27,Federal-gov,Bachelors,13,Exec-managerial,285090,0,40,United-States,19.67,Scorpio
27,Local-gov,Some-college,10,Exec-managerial,0,0,40,United-States,40.22,Aquarius
22,Private,HS-grad,9,Other-service,0,0,40,United-States,45.63,Virgo
68,Private,HS-grad,9,Sales,0,0,40,United-States,12.79,Virgo
55,Self-emp-not-inc,Some-college,10,Farming-fishing,0,0,40,United-States,166.88,Virgo
22,Self-emp-not-inc,HS-grad,9,Other-service,0,0,40,Greece,28.40,Cancer
25,Private,Some-college,10,Exec-managerial,0,0,40,United-States,33.59,Taurus
68,Self-emp-not-inc,HS-grad,9,Farming-fishing,0,0,40,United-States,48.24,Taurus
62,Private,Some-college,10,Exec-managerial,0,0,40,United-States,20.19,Gemini
26,Private,HS-grad,9,Other-service,0,0,40,United-States,12.08,Aquarius
34,Private,Masters,14,Prof-specialty,0,0,40,United-States,128.73,Libra
68,Private,Some-college,10,Sales,0,0,40,United-States,28.95,Leo
42,Local-gov,Bachelors,13,Exec-managerial,0,0,40,United-States,176.69,Libra
45,Private,Bachelors,13,Sales,0,0,40,United-States,48.59,Leo
26,Private,11th,7,Transport-moving,0,0,40,United-States,37.51,Taurus
25,Private,HS-grad,9,Machine-op-inspct,0,0,40,United-States,44.78,Taurus
23,Private,Bachelors,13,Prof-specialty,263563,0,40,United-States,27.98,Scorpio
29,Private,Some-college,10,Other-service,0,1590,40,?,26.46,Libra
65,Without-pay,7th-8th,4,Farming-fishing,0,0,40,United-States,17.00,Cancer
31,Private,HS-grad,9,Transport-moving,0,0,40,United-States,28.70,Virgo
26,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,18.42,Leo
39,Private,Some-college,10,Craft-repair,0,0,40,United-States,117.47,Aquarius
44,Private,HS-grad,9,Machine-op-inspct,0,0,40,United-States,109.15,Pisces 
45,Local-gov,Masters,14,Prof-specialty,1506,0,40,United-States,426.13,Gemini
26,Self-emp-not-inc,Masters,14,Prof-specialty,0,0,40,United-States,45.96,Taurus
26,Private,10th,6,Transport-moving,0,0,40,United-States,14.40,Sagittarius
36,Private,9th,5,Transport-moving,0,0,40,United-States,37.06,Sagittarius
38,Private,11th,7,Craft-repair,0,0,40,United-States,19.21,Taurus
39,Private,HS-grad,9,Machine-op-inspct,0,0,40,United-States,46.18,Sagittarius
52,Self-emp-inc,Prof-school,15,Exec-managerial,0,0,40,United-States,25.90,Libra
39,Private,1st-4th,2,Craft-repair,0,0,40,Mexico,41.58,Capricorn
41,Self-emp-not-inc,Some-college,10,Craft-repair,0,0,40,United-States,37.05,Cancer
42,Local-gov,Masters,14,Exec-managerial,0,12008,40,United-States,116.31,Virgo
47,Private,Bachelors,13,Sales,0,0,40,United-States,43.30,Sagittarius
28,Local-gov,Assoc-voc,11,Protective-serv,0,0,40,United-States,45.08,Aquarius
25,Local-gov,Bachelors,13,Prof-specialty,269492,0,40,United-States,21.19,Scorpio
35,Private,Bachelors,13,Adm-clerical,0,0,40,United-States,42.78,Taurus
32,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,47.45,Aquarius
38,Private,Masters,14,Craft-repair,0,0,40,United-States,124.26,Aquarius
44,Private,Some-college,10,Tech-support,0,0,40,United-States,115.27,Pisces 
21,?,Some-college,10,?,0,0,40,United-States,29.66,Capricorn
27,Private,Bachelors,13,Sales,0,0,40,United-States,43.33,Taurus
30,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,142.01,Leo
30,Private,Bachelors,13,Sales,0,1741,40,United-States,48.06,Pisces 
45,Private,HS-grad,9,Handlers-cleaners,0,1628,40,United-States,47.69,Cancer
20,Private,HS-grad,9,Craft-repair,0,0,40,United-States,45.16,Capricorn
57,Private,Masters,14,Prof-specialty,0,0,40,United-States,37.91,Aquarius
43,Private,Some-college,10,Adm-clerical,0,0,40,United-States,12.32,Pisces 
50,?,11th,7,?,0,0,40,United-States,19.64,Virgo
28,Private,7th-8th,4,Machine-op-inspct,0,0,40,China,23.75,Aquarius
25,Private,HS-grad,9,Tech-support,0,0,40,United-States,180.69,Capricorn
25,Private,HS-grad,9,Sales,0,0,40,United-States,20.67,Virgo
90,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,13.52,Taurus
38,Local-gov,Bachelors,13,Prof-specialty,0,0,40,United-States,19.09,Sagittarius
35,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,41.33,Taurus
50,State-gov,Bachelors,13,Exec-managerial,0,0,40,Canada,121.09,Aquarius
26,Local-gov,HS-grad,9,Adm-clerical,0,0,40,United-States,33.62,Pisces 
39,Private,Some-college,10,Farming-fishing,0,0,40,United-States,20.27,Gemini
56,Private,10th,6,Sales,288061,0,40,United-States,23.91,Scorpio
24,Local-gov,HS-grad,9,Protective-serv,230279,0,40,United-States,49.30,Scorpio
46,Private,HS-grad,9,Adm-clerical,7688,0,40,United-States,387.43,Taurus
18,Local-gov,11th,7,Adm-clerical,0,0,40,United-States,13.32,Pisces 
37,Private,Masters,14,Exec-managerial,0,2415,40,United-States,509.46,Leo
57,Private,Masters,14,Prof-specialty,0,0,40,United-States,31.51,Leo
43,State-gov,HS-grad,9,Adm-clerical,0,0,40,United-States,32.44,Capricorn
29,State-gov,Bachelors,13,Prof-specialty,267118,0,40,Nicaragua,28.38,Scorpio
40,Private,Masters,14,Exec-managerial,0,0,40,United-States,177.87,Capricorn
44,Self-emp-not-inc,Bachelors,13,Exec-managerial,0,0,40,United-States,46.70,Capricorn
77,Local-gov,HS-grad,9,Exec-managerial,215494,0,40,United-States,29.04,Scorpio
30,Private,Bachelors,13,Prof-specialty,0,0,40,United-States,28.62,Gemini
21,Private,HS-grad,9,Machine-op-inspct,0,0,40,United-States,29.32,Virgo
66,Private,10th,6,Protective-serv,275763,0,40,United-States,39.21,Scorpio
40,Private,11th,7,Transport-moving,0,0,40,United-States,33.84,Gemini
68,Private,HS-grad,9,Sales,0,0,40,United-States,22.29,Sagittarius
64,Private,HS-grad,9,Other-service,0,0,40,United-States,49.17,Gemini
26,Private,Bachelors,13,Prof-specialty,0,0,40,United-States,21.63,Aquarius
32,Private,Some-college,10,Exec-managerial,0,0,40,United-States,82.56,Cancer
32,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,48.80,Leo
51,Local-gov,Masters,14,Prof-specialty,0,0,40,United-States,110.17,Taurus
50,Private,Masters,14,Prof-specialty,15024,0,40,United-States,374.18,Sagittarius
49,Private,Bachelors,13,Sales,0,0,40,United-States,152.23,Pisces 
28,Private,Bachelors,13,Transport-moving,0,0,40,United-States,27.97,Gemini
29,Private,HS-grad,9,Other-service,0,0,40,United-States,41.16,Cancer
21,Private,Some-college,10,Sales,0,0,40,United-States,39.58,Virgo
28,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,48.52,Capricorn
55,Private,10th,6,Craft-repair,0,0,40,United-States,35.86,Cancer
45,Self-emp-not-inc,HS-grad,9,Sales,0,0,40,South,120.36,Libra
35,Private,Some-college,10,Sales,0,0,40,United-States,13.03,Libra
31,?,11th,7,?,0,0,40,United-States,43.61,Virgo
26,Private,Masters,14,Prof-specialty,8614,0,40,United-States,374.07,Sagittarius
30,Private,HS-grad,9,Other-service,283891,0,40,Germany,41.08,Scorpio
33,Private,HS-grad,9,Sales,0,0,40,United-States,36.26,Taurus
40,Private,Bachelors,13,Prof-specialty,13550,0,40,Cambodia,372.89,Leo
23,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,10.41,Taurus
35,Private,Some-college,10,Sales,0,0,40,United-States,28.07,Taurus
48,Self-emp-not-inc,11th,7,Farming-fishing,0,0,40,United-States,122.50,Pisces 
39,Local-gov,10th,6,Handlers-cleaners,0,0,40,United-States,17.23,Taurus
53,Local-gov,Prof-school,15,Prof-specialty,0,0,40,United-States,21.58,Capricorn
49,Federal-gov,HS-grad,9,Adm-clerical,261706,0,40,United-States,170.87,Scorpio
31,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,10.94,Capricorn
36,Private,HS-grad,9,Craft-repair,3103,0,40,United-States,444.92,Aquarius
60,Self-emp-inc,Some-college,10,Exec-managerial,7688,0,40,United-States,445.83,Taurus
29,Private,HS-grad,9,Machine-op-inspct,0,0,40,United-States,13.28,Gemini
54,Self-emp-inc,Some-college,10,Sales,225613,0,40,United-States,152.67,Scorpio
28,?,Assoc-acdm,12,?,0,0,40,United-States,39.06,Sagittarius
34,Private,HS-grad,9,Craft-repair,0,0,40,United-States,49.96,Aquarius
30,Private,Some-college,10,Sales,0,0,40,United-States,49.43,Sagittarius
19,Private,HS-grad,9,Priv-house-serv,0,0,40,?,48.38,Taurus
26,Private,HS-grad,9,Handlers-cleaners,217297,0,40,United-States,43.56,Scorpio
47,Private,Some-college,10,Sales,257800,0,40,United-States,159.37,Scorpio
50,Private,HS-grad,9,Exec-managerial,274806,0,40,United-States,30.16,Scorpio
